InstanceId,Label,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E19,E20,E21,E22,E23,TotalEvents
00287154-fceb-41a6-827d-713086dd80c7,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
002afded-8d0b-49f2-bab7-07e8ff79eac4,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
0039c90c-b94c-4a97-985c-0421663a49fc,Normal,1,3,6,0,1,6,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,24
00533c6c-c5fd-4910-ad06-508ea82a2c2e,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
0060e3e6-bfb7-4eaf-937b-30c303472315,Normal,1,3,6,0,1,6,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,24
007ddfb6-fcdb-4e6c-a8ef-9c3b9fa27b64,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
009c6a16-a3d3-4bbc-9a2e-ba70a49793cc,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
00a09545-b546-45fb-bc9a-b227fdf4b036,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
00d0361d-326e-473b-9892-05506438830b,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
00dec35d-985a-40f6-8146-6938a2eaff7e,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
00fde18e-312b-4568-8982-b8eb7fee155c,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
01083cc5-ec46-4fac-803f-02fdb1b5b408,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
012438a0-b548-4e1f-bf17-b2fd8e1e3b4d,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
012de84d-befe-4e95-9abd-394f908d7d2d,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
012f2a88-7b8d-4354-981f-8df6b3b6aee3,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
015f9c70-78bc-4f68-b9f7-7fe8e6b07ff1,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
01648529-9cfe-4dcd-af4a-da30bdae69f1,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
016e3623-3b17-463b-91e0-dfb7fd10178e,Normal,0,6,4,0,0,3,0,2,1,0,0,1,0,1,6,1,0,0,0,0,0,0,0,25
018e5eb5-d5e8-4940-ab9d-536d415a90ba,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
01a3a1b0-53dc-44cf-9208-561a209f9ce7,Normal,1,3,6,0,1,6,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,24
01a67008-3247-4ebe-beb3-e0f082969c02,Normal,1,3,6,0,1,6,1,1,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,26
01b8b53c-8c5c-4de2-95ef-c3412cd5d2f0,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
01d509ee-c3ec-4e7b-b93a-8d0adf143b72,Normal,1,3,6,0,1,6,1,1,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,24
02021790-eedb-44ae-ad9e-04e22b0b3bf8,Normal,1,3,6,0,1,6,1,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,25
